Departamento,Municipio,Codigo Municipio,Total Procesadas
AMAZONAS,EL ENCANTO (CD),91263,2
AMAZONAS,LA CHORRERA (CD),91405,4
AMAZONAS,LA PEDRERA (CD),91407,10
AMAZONAS,LETICIA,91001,34633
AMAZONAS,PUERTO ALEGRIA (CD),91530,3
AMAZONAS,PUERTO NARIÑO,91540,129
AMAZONAS,PUERTO SANTANDER (CD),91669,3
AMAZONAS,TARAPACA (CD),91798,1
ANTIOQUIA,* ANTIOQUIA. MUNICIPIO DESCONOCIDO,05000,251
ANTIOQUIA,ABEJORRAL,05002,1939
ANTIOQUIA,ABRIAQUI,05004,276
ANTIOQUIA,ALEJANDRIA,05021,593
ANTIOQUIA,AMAGA,05030,2571
ANTIOQUIA,AMALFI,05031,2094
ANTIOQUIA,ANDES,05034,1520
ANTIOQUIA,ANGELOPOLIS,05036,570
ANTIOQUIA,ANGOSTURA,05038,641
ANTIOQUIA,ANORI,05040,520
ANTIOQUIA,ANTIOQUIA,05042,5707
ANTIOQUIA,ANZA,05044,879
ANTIOQUIA,APARTADO,05045,35502
ANTIOQUIA,ARBOLETES,05051,2396
ANTIOQUIA,ARGELIA,05055,440
ANTIOQUIA,ARMENIA,05059,1474
ANTIOQUIA,BARBOSA,05079,4578
ANTIOQUIA,BELLO,05088,120508
ANTIOQUIA,BELMIRA,05086,526
ANTIOQUIA,BETANIA,05091,1247
ANTIOQUIA,BETULIA,05093,949
ANTIOQUIA,BOLIVAR,05101,6415
ANTIOQUIA,BRICENO,05107,543
ANTIOQUIA,BURITICA,05113,2541
ANTIOQUIA,CACERES,05120,1899
ANTIOQUIA,CAICEDO,05125,500
ANTIOQUIA,CALDAS,05129,27829
ANTIOQUIA,CAMPAMENTO,05134,790
ANTIOQUIA,CAÑASGORDAS,05138,1257
ANTIOQUIA,CARACOLI,05142,865
ANTIOQUIA,CARAMANTA,05145,517
ANTIOQUIA,CAREPA,05147,6928
ANTIOQUIA,CARMEN DE VIBORAL,05148,4737
ANTIOQUIA,CAROLINA,05150,1308
ANTIOQUIA,CAUCASIA,05154,12374
ANTIOQUIA,CHIGORODO,05172,6053
ANTIOQUIA,CISNEROS,05190,2122
ANTIOQUIA,COCORNA,05197,1294
ANTIOQUIA,CONCEPCION,05206,1036
ANTIOQUIA,CONCORDIA,05209,1096
ANTIOQUIA,COPACABANA,05212,11892
ANTIOQUIA,DABEIBA,05234,12430
ANTIOQUIA,DON MATIAS,05237,1827
ANTIOQUIA,EBEJICO,05240,572
ANTIOQUIA,EL BAGRE,05250,6374
ANTIOQUIA,ENTRERRIOS,05264,1895
ANTIOQUIA,ENVIGADO,05266,68248
ANTIOQUIA,FREDONIA,05282,1943
ANTIOQUIA,FRONTINO,05284,815
ANTIOQUIA,GIRALDO,05306,1388
ANTIOQUIA,GIRARDOTA,05308,6635
ANTIOQUIA,GOMEZ PLATA,05310,1240
ANTIOQUIA,GRANADA,05313,865
ANTIOQUIA,GUADALUPE,05315,434
ANTIOQUIA,GUARNE,05318,6496
ANTIOQUIA,GUATAPE,05321,1374
ANTIOQUIA,HELICONIA,05347,779
ANTIOQUIA,HISPANIA,05353,755
ANTIOQUIA,ITAGUI,05360,100795
ANTIOQUIA,ITUANGO,05361,8117
ANTIOQUIA,JARDIN,05364,1485
ANTIOQUIA,JERICO,05368,1500
ANTIOQUIA,LA CEJA,05376,8043
ANTIOQUIA,LA ESTRELLA,05380,10472
ANTIOQUIA,LA PINTADA,05390,887
ANTIOQUIA,LA UNION,05400,3241
ANTIOQUIA,LIBORINA,05411,1055
ANTIOQUIA,MACEO,05425,1365
ANTIOQUIA,MARINILLA,05440,13475
ANTIOQUIA,MEDELLIN,05001,1734465
ANTIOQUIA,MONTEBELLO,05467,359
ANTIOQUIA,MURINDO,05475,196
ANTIOQUIA,MUTATA,05480,1278
ANTIOQUIA,NARIÑO,05483,2342
ANTIOQUIA,NECHI,05495,1249
ANTIOQUIA,NECOCLI,05490,3675
ANTIOQUIA,OLAYA,05501,430
ANTIOQUIA,PEÑOL,05541,3572
ANTIOQUIA,PEQUE,05543,362
ANTIOQUIA,PUEBLORRICO,05576,218
ANTIOQUIA,PUERTO BERRIO,05579,6482
ANTIOQUIA,PUERTO NARE (LA MAGDALENA ),05585,772
ANTIOQUIA,PUERTO TRIUNFO,05591,5356
ANTIOQUIA,REMEDIOS,05604,1584
ANTIOQUIA,RETIRO,05607,2373
ANTIOQUIA,RIONEGRO,05615,122658
ANTIOQUIA,SABANALARGA,05628,989
