TIPO IDENTIFICACION,NUMERO IDENTIFICACION,RAZON SOCIAL,MUNICIPIO_COD,NOMBRE_MUNICIPIO,DEPARTAMENTO_COD,NOMBRE_DEPARTAMENTO,ESTADO EMPRESA,COD INTERNO AREA,NATURALEZA,FECHA CORTE,ID INDICADOR,FECHA VIGENCIA,META
ID-ZW - FASE 2,7610905002,Buenaventura,76109,BUENAVENTURA,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,4755505001,Plato,47555,PLATO,47,MAGDALENA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,1980702001,Timbio,19807,TIMBIO,19,CAUCA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,5239902001,La Union,52399,LA UNION,52,NARI�O,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,5031302001,Granada,50313,GRANADA,50,META,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,1100104014,Barrios Unidos,11001,"BOGOTA, D.C.",11,BOGOTA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,1326805001,El Pe�on,13268,EL PE�ON,13,BOLIVAR,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,1100104037,Kennedy,11001,"BOGOTA, D.C.",11,BOGOTA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,1100104017,Suba,11001,"BOGOTA, D.C.",11,BOGOTA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,0589506001,Zaragoza,05895,ZARAGOZA,05,ANTIOQUIA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,2000105031,Valledupar,20001,VALLEDUPAR,20,CESAR,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,1383605002,Turbaco,13836,TURBACO,13,BOLIVAR,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 1,7300101000,Ibague,73001,IBAGUE,73,TOLIMA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,1305205001,Arjona,13052,ARJONA,13,BOLIVAR,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,0515006001,Carolina,05150,CAROLINA,05,ANTIOQUIA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,7610905002,Buenaventura,76109,BUENAVENTURA,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,2300106053,Monteria,23001,MONTERIA,23,CORDOBA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,4166802001,San Agustin,41668,SAN AGUSTIN,41,HUILA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,7667005001,San Pedro,76670,SAN PEDRO,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,2547306001,Mosquera,25473,MOSQUERA,25,CUNDINAMARCA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,5451806001,Pamplona,54518,PAMPLONA,54,NORTE DE SANTANDER,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,0800104050,Barranquilla,08001,BARRANQUILLA,08,ATLANTICO,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,0800104020,Barranquilla,08001,BARRANQUILLA,08,ATLANTICO,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,8500102002,Yopal,85001,YOPAL,85,CASANARE,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 1,8501001000,Aguazul,85010,AGUAZUL,85,CASANARE,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,4155102003,Pitalito,41551,PITALITO,41,HUILA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,6300105002,Armenia,63001,ARMENIA,63,QUINDIO,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,7356305001,Prado,73563,PRADO,73,TOLIMA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,7660605002,Restrepo,76606,RESTREPO,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 1,4718901000,Cienaga,47189,CIENAGA,47,MAGDALENA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,7321705001,Coyaima,73217,COYAIMA,73,TOLIMA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,2000105017,Valledupar,20001,VALLEDUPAR,20,CESAR,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,0877004001,Suan,08770,SUAN,08,ATLANTICO,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,2385506001,Valencia,23855,VALENCIA,23,CORDOBA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,0800104089,Barranquilla,08001,BARRANQUILLA,08,ATLANTICO,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,6617002007,Dosquebradas,66170,DOSQUEBRADAS,66,RISARALDA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,5431305002,Gramalote,54313,GRAMALOTE,54,NORTE DE SANTANDER,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 1,6600106048,Pereira,66001,PEREIRA,66,RISARALDA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,0575606001,Sonson,05756,SONSON,05,ANTIOQUIA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 1,8656802000,Puerto Asis,86568,PUERTO ASIS,86,PUTUMAYO,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,2300106021,Monteria,23001,MONTERIA,23,CORDOBA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,2581706001,Tocancipa,25817,TOCANCIPA,25,CUNDINAMARCA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,7327005001,Falan,73270,FALAN,73,TOLIMA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,6607506001,Balboa,66075,BALBOA,66,RISARALDA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,4754105001,Pedraza,47541,PEDRAZA,47,MAGDALENA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,6668202003,Santa Rosa de Cabal,66682,SANTA ROSA DE CABAL,66,RISARALDA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,1100104030,Santafe,11001,"BOGOTA, D.C.",11,BOGOTA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,0523406001,Dabeiba,05234,DABEIBA,05,ANTIOQUIA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 1,6600106097,Pereira,66001,PEREIRA,66,RISARALDA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,4100102001,Neiva,41001,NEIVA,41,HUILA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,0537606001,La Ceja,05376,LA CEJA,05,ANTIOQUIA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 1,6600106041,Pereira,66001,PEREIRA,66,RISARALDA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 1,6600106027,Pereira,66001,PEREIRA,66,RISARALDA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,6631802001,Guatica,66318,GUATICA,66,RISARALDA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,7361605001,Rioblanco,73616,RIOBLANCO,73,TOLIMA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 1,4718901000,Cienaga,47189,CIENAGA,47,MAGDALENA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,1343305001,Mahates,13433,MAHATES,13,BOLIVAR,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,6340105001,La Tebaida,63401,LA TEBAIDA,63,QUINDIO,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,6668202005,Santa Rosa de Cabal,66682,SANTA ROSA DE CABAL,66,RISARALDA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,1947302001,Morales,19473,MORALES,19,CAUCA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,7000106003,Sincelejo,70001,SINCELEJO,70,SUCRE,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,0567906001,Santa Barbara,05679,SANTA BARBARA,05,ANTIOQUIA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,7300105003,Ibague,73001,IBAGUE,73,TOLIMA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,1383605002,Turbaco,13836,TURBACO,13,BOLIVAR,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,7011006001,Buenavista,70110,BUENAVISTA,70,SUCRE,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,6330205001,Genova,63302,GENOVA,63,QUINDIO,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,6617002006,Dosquebradas,66170,DOSQUEBRADAS,66,RISARALDA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 1,6600106040,Pereira,66001,PEREIRA,66,RISARALDA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,7600105001,Cali,76001,CALI,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,6327205001,Filandia,63272,FILANDIA,63,QUINDIO,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,2700105002,Quibdo,27001,QUIBDO,27,CHOCO,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,1969802003,Santander de Quilichao,19698,SANTANDER DE QUILICHAO,19,CAUCA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,1100104004,Barrios Unidos,11001,"BOGOTA, D.C.",11,BOGOTA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 1,6600106066,Pereira,66001,PEREIRA,66,RISARALDA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,2367006001,San Andres Sotavento,23670,SAN ANDRES SOTAVENTO,23,CORDOBA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,6607502001,Balboa,66075,BALBOA,66,RISARALDA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,4130602001,Gigante,41306,GIGANTE,41,HUILA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,2524506001,El Colegio,25245,EL COLEGIO,25,CUNDINAMARCA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,1100104017,Suba,11001,"BOGOTA, D.C.",11,BOGOTA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,0800104039,Barranquilla,08001,BARRANQUILLA,08,ATLANTICO,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,2000105034,Valledupar,20001,VALLEDUPAR,20,CESAR,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,7656305002,Pradera,76563,PRADERA,76,VALLE DEL CAUCA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 1,6600106063,Pereira,66001,PEREIRA,66,RISARALDA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,2000105027,Valledupar,20001,VALLEDUPAR,20,CESAR,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,0800104033,Barranquilla,08001,BARRANQUILLA,08,ATLANTICO,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,2300106006,Monteria,23001,MONTERIA,23,CORDOBA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 2,1100104028,Barrios Unidos,11001,"BOGOTA, D.C.",11,BOGOTA,ACTIVO,,PUBLICA,2017-12-31,4900,2017-12-31,300
ID-ZW - FASE 1,6600106095,Pereira,66001,PEREIRA,66,RISARALDA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,1343305001,Mahates,13433,MAHATES,13,BOLIVAR,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
ID-ZW - FASE 2,6668202001,Santa Rosa de Cabal,66682,SANTA ROSA DE CABAL,66,RISARALDA,ACTIVO,,PUBLICA,2016-12-31,4198,2016-12-31,250
